zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
AM635,25.12.1957,Kabul,Afganistan,"fiktivní adresa, fiktivní země",49 123 456 789,ahmed.hassan@email.com,"Já, Ahmed Hassan, tvrdím, že žádám o azyl v Evropě kvůli údajnému stupňujícímu se násilí a údajnému ohrožení mého života Talibanem v Afghánistánu. Údajně jsem se stal terčem údajného pronásledování jako novinář, který údajně informuje o politické korupci a porušování lidských práv, což by mě údajně mohlo postavit do konfliktu s Talibanem. Údajně považují novináře jako mě za nepřátele a údajně mi údajně vyhrožují smrtí. Údajná žádost o mezinárodní ochranu by podle mě měla údajně pomoci uniknout z jejich údajných spárů a údajně pokračovat v údajné práci při poskytování nezaujatých informací a údajném prosazování svobody tisku.",N/A (rodina žadatele bydlí v jiné zemi),"Abych se dostal do Německa, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země, včetně Rakouska a Maďarska, než jsem se nakonec dostal do Německa, kde pobývám posledních osm měsíců.","K této žádosti o azyl jsou připojeny fotografie a zdokumentované důkazy, které ukazují nebezpečí, kterým čelí novináři v Afghánistánu, zejména ti, kteří informují o korupci a porušování lidských práv. Zahrnul jsem zpravodajské články, zprávy a osobní zprávy, které poskytují důkazy o hrozbách a násilí vůči novinářům. Navíc přikládám posudky od kolegů a renomovaných mezinárodních organizací, které mohou ověřit mé zkušenosti a ověřit rizika, jimž čelí novináři na podobných pozicích. Kromě dokladů totožnosti jsem připojil kopie článků a zpráv, které jsem napsal a které odhalují korupci a porušování lidských práv. Zahrnul jsem také policejní záznamy dokumentující výhrůžky a incidenty násilí zaměřené na mě. Dále přikládám zprávy od renomovaných mezinárodních organizací, které se zabývají situací novinářů v Afghánistánu.",Ne
AM636,16.09.1978,Mazar-i-Sharif,Afganistan,"fiktivní adresa, fiktivní země",33 123 456 789,layla.rahmani@email.com,"Já, Layla Rahmani, hledám azyl v Evropě kvůli údajnému náhlému zhoršení životních podmínek v Afghánistánu. Tvrdím, že nedávné události v mé zemi způsobily, že je pro mě a mou rodinu nebezpečné zůstat. Hledám nové místo k životu, kde doufám, že budeme moci začít znovu bez stresu a obav.","Člen rodiny 1:
Jméno: Zia Rahmani
Věk: 59
Vztah: Otec

Člen rodiny 2:
Jméno: Farida Rahmani
Věk: 57
Vztah: Matka","Abych se dostal do Francie, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země, včetně Itálie a Belgie, než jsem se konečně dostal do Francie, kde jsem posledních dvanáct měsíců pobýval.","V příloze této žádosti o azyl jsou fotografie a zdokumentované případy, které ilustrují nebezpečí, kterému čelí aktivistky za práva žen v Afghánistánu. Zahrnul jsem zpravodajské články, zprávy a osobní zprávy, které poskytují důkazy o hrozbách, obtěžování a násilí vůči jednotlivcům, kteří obhajují rovnost pohlaví. Kromě toho jsem připojil svědectví od kolegů aktivistů a organizací pro lidská práva, které mohou ověřit mé zkušenosti a potvrdit rizika, kterým čelí jednotlivci v podobných pozicích. Kromě dokladů totožnosti přikládám certifikáty a ocenění získaná za práci při prosazování genderové rovnosti a vzdělávání. Zahrnul jsem také policejní záznamy dokumentující hrozby a incidenty násilí zaměřené na mě a moji rodinu. Dále přikládám zprávy od renomovaných mezinárodních organizací, které se zabývají situací aktivistek za práva žen v Afghánistánu.",Ano
AM637,27.03.1968,Kabul,Afganistan,"fiktivní adresa, fiktivní země",49 123 456 789,mariam.ahmadzai@email.com,"Já, Mariam Ahmadzai, tvrdím, že žádám o azyl v Evropě kvůli domnělé hrozbě a násilí ze strany extremistických skupin v Afghánistánu. Údajně jako novinář, který se údajně věnuje zpravodajství o porušování lidských práv a politické korupci, jsem údajně cílem Talibanu a dalších radikálních frakcí. Údajně má moje investigativní práce údajně odhalit jejich činnost a údajně mě považují za hrozbu pro jejich operace. Údajná žádost o mezinárodní ochranu je údajně jediným způsobem, jak údajně zajistit mou údajnou bezpečnost a údajně pokračovat ve svém údajném závazku usilovat o spravedlnost a transparentnost.",N/A (rodina žadatele bydlí v jiné zemi),"Abych se dostal do Německa, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země včetně Rakouska a Maďarska, než jsem se nakonec dostal do Německa, kde pobývám posledních deset měsíců.",,Ano
AW205,10.07.1982,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",,zahra.nouri@email.com,"Zahra Nouri tvrdí, že žádá o azyl kvůli hrozbě invaze mimozemšťanů. Jako badatelka a novinářka se údajně setkala s mimozemskými bytostmi, které ji údajně chtěly unést a provádět na ní pokusy. Údajně byla terčem útoků a fyzických napadení ze strany těchto mimozemských entit kvůli svým pokročilým teoriím o mimozemském životě. Má údajné obavy o bezpečnost svou i své rodiny v případě dalšího kontaktu s mimozemšťany.","Zahřin manžel a jejich staří rodiče, kteří jsou rovněž členy házarské komunity.",Zahra uprchla do Rakouska v roce 2021 na základě falešných dokladů.,,Ano
AW206,23.04.1951,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",,nasrin.abdullah@email.com,,"Nasríniny čtyři děti: Sára, Ahmad, Leila a Omar Abdullah.",Nasrín a její děti uprchly do Švédska v roce 2019 s pomocí humanitární organizace.,"Nasrín přiložila lékařské záznamy dokládající zranění, která utrpěla v důsledku domácího násilí. Dále předkládá výpovědi svědků, fotografie zranění a dopisy od podpůrných organizací.",Ano
AM054,05.12.1955,Mazar-e-Sharif,Afganistan,"fiktivní adresa, fiktivní země",,zahra.noori@email.com,"Zahra Noori se domnívá, že je ohrožena v důsledku svého zájmu o výzkum extraterestriálního života a kontakt s mimozemskými bytostmi. Tvrdí, že byla terčem útoků a výhrůžek ze strany tajných organizací, které chtějí utajit pravdu o existenci mimozemských civilizací. Pokud by se vrátila do Afghánistánu, obává se, že by byla cílem těchto organizací a její život by byl v nebezpečí.","Zahřini rodiče, Saifullah a Fatima Nooriovi.",Zahra uprchla do Spojeného království v roce 2021 na základě platného turistického víza.,"Zahra přiložila kopie výhrůžných dopisů, které obdržela od extremistických skupin, novinové články upozorňující na útoky na šíitské muslimy a prohlášení kolegů ze šíitské komunity, kteří svědčí o nebezpečí, kterému čelí.",Ne
AM055,23.07.1978,Herat,Afganistan,"fiktivní adresa, fiktivní země",,masood.azimi@email.com,"Masood Azimi tvrdí, že žádá o azyl kvůli obavám z pronásledování kvůli své vášni pro extrémní sporty. Údajně jako horolezec a bungee jumping nadšenec čelí v Afghánistánu opovržení a ostrakizaci ze strany konzervativní části společnosti. Pokud by se vrátil do země, obává se o svou bezpečnost a omezení svého volného času.",V tomto případě nejsou ohroženi žádní rodinní příslušníci.,Masood uprchl do Nizozemska v roce 2020 na základě studentského víza.,,Ano
AM056,31.03.1982,Kabul,Afganistan,"fiktivní adresa, fiktivní země",,ahmed.khan@email.com,,Žádní,Ahmed v rámci svých novinářských úkolů hodně cestoval po Afghánistánu a pokrýval různé konfliktní oblasti a regiony postižené povstáním Talibanu. Před podáním této žádosti o azyl nevycestoval do zahraničí.,,Ano
AW065,18.11.1990,Herat,Afganistan,"fiktivní adresa, fiktivní země",,zahra.noori@email.com,"Zahra Noori tvrdí, že žádá o azyl v Evropě kvůli neustálému nebezpečí a hrozbám, kterým čelí v Afghánistánu kvůli své údajné spojitosti s tajnou organizací, která údajně plánuje sabotáže a teroristické útoky. Jako údajná sympatizantka této organizace je údajně terčem sledování, výhrůžek a fyzických útoků od afghánských bezpečnostních složek. Údajně má obavy o svůj život a bezpečnost a tvrdí, že je nezbytné najít azyl v zahraničí pro sebe i pro své blízké, aby unikli údajným represím a odvetě.",Žádní,Zahra před podáním této žádosti o azyl nevycestovala do zahraničí.,,Ano
AW066,09.06.1986,Kunduz,Afganistan,"fiktivní adresa, fiktivní země",,farida.rahimi@email.com,"Farida žádá o azyl v Evropě kvůli údajnému pronásledování ze strany vlády Afghánistánu kvůli své údajné politické aktivitě. Tvrdí, že je terčem údajných fyzických útoků a neustálých výhrůžek kvůli svým údajným politickým postojům. Pokud by se vrátila do Afghánistánu, údajně by byla zadržena a vystavena mučení ze strany vládních orgánů.","Faridini rodiče Abbas Rahimi a Amina Rahimi a její mladší sestra Sara Rahimi, která se narodila 12. září 2000 v afghánském Kunduzu.",Farida před podáním této žádosti o azyl nevycestovala do zahraničí.,,Ano
AM098,26.05.1952,Kabul,Afganistan,"fiktivní adresa, fiktivní země",,ahmed.khan@email.com,"Ahmed žádá o azyl v Evropě kvůli tomu, že tvrdí, že se v Afghánistánu ztratil v pustině, kde byl ohrožen divokými zvířaty. Údajně ho napadly lvouni a měl strach o svůj život.","Ahmedova matka Fatima Khan, 50 let, a jeho mladší sestra Aisha Khan, 18 let.","Ahmed před podáním této žádosti o azyl nevycestoval do zahraničí. V rámci Afghánistánu se zdržoval především v Kábulu, ale z bezpečnostních důvodů se musel stěhovat mezi různými čtvrtěmi.",,Ano
AW324,17.12.1988,Kunduz,Afganistan,"fiktivní adresa, fiktivní země",,farida.rahimi@email.com,"Osoba, která žádá o azyl v Evropě, protože se rozhodla prozkoumat možnosti obchodních investic v jiné zemi, by pravděpodobně nebyla schválena. I když tvrdí, že čelí rizikům a nebezpečí jako aktivistka za práva žen v konzervativní a patriarchální společnosti Afghánistánu, hlavním důvodem pro hledání azylu je nalézt lepší obchodní příležitosti v jiné zemi.",Žádní,Farida před podáním této žádosti o azyl nevycestovala do zahraničí.,"Farida přikládá kopie novinových článků, v nichž se píše o její aktivitě. Potvrzení o přijetí do nové firmy.",Ano
AM314,27.09.1957,Mazar-e-Sharif,Afganistan,"fiktivní adresa, fiktivní země",46 123 456 789,aziza.rahimi@email.com,"Aziza Rahimi požádala o azyl v Evropě s odůvodněním hledání lepších životních podmínek pro sebe a svou rodinu. Avšak není doloženo, že by v Afghánistánu vykonávala aktivismus za práva žen. Neexistují žádné přímé důkazy potvrzující hrozby, kterým tvrdila, že čelila, a zdá se, že její žádost je spíše motivována touhou po změně životního stylu než reálnými ohroženími.","Rodinný příslušník 1:
Jméno: Fatima Rahimi
Věk: 50 let
Příbuzenský vztah: Matka:

Rodinný příslušník 2:
Jméno: Samira Rahimi
Věk: 28 let
Příbuzenský vztah: Samira Samira Sestra","Před příjezdem do Švédska jsem musela podniknout riskantní cestu, abych unikla nebezpečí v Afghánistánu. Cestovala jsem přes Írán, Turecko a pak přes moře do Řecka. Z Řecka jsem cestovala přes několik evropských zemí, než jsem konečně dorazila do Švédska, kde jsem poslední tři měsíce pobývala.","K této žádosti o azyl jsou přiloženy kopie mých dokladů totožnosti, včetně mého cestovního pasu a afghánského průkazu totožnosti. ",Ano
AM315,20.11.1993,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",33 123 456 789,ahmad.hamidi@email.com,,"Rodinný příslušník 1:
Jméno: Safia Hamidi
Věk: 55 let
Příbuzenský vztah: Matka:

Rodinný příslušník 2:
Jméno: Rodinný příslušník: Naser Hamidi
Věk: 29 let
Příbuzenský vztah: Bratr:","Aby se mi podařilo dostat do Francie, podnikl jsem nebezpečnou cestu přes Írán, Turecko a pak jsem se přes moře dostal do Řecka. Odtud jsem se s pomocí pašeráků dostal do Francie. Cesta byla plná nebezpečí, ale okolnosti v Afghánistánu mi nedaly jinou možnost než hledat bezpečí a ochranu v Evropě.","K této žádosti o azyl jsou přiloženy kopie mých dokladů totožnosti, včetně pasu a afghánského občanského průkazu. Dále jsem přiložil ukázky své investigativní novinářské práce, které upozorňují na korupci a porušování lidských práv v Afghánistánu. Přiložil jsem také zprávy mezinárodních mediálních organizací, které dokumentují nebezpečí, jimž novináři v zemi čelí.",Ano
AM316,15.06.1972,Kandahar,Afganistan,"fiktivní adresa, fiktivní země",49 123 456 7890,layla.kazimi@email.com,"Layla Kazimi požádala o azyl z důvodu diskriminace a pronásledování jako LGBTQ+ osoba v Afghánistánu. Avšak nedostatek konkrétních událostí nebo důkazů, které by podpořily tvrzení o pronásledování, vedl k odmítnutí žádosti. Bez důkazů o přímém ohrožení života nebo bezpečnosti byla žádost považována za neopodstatněnou.","Rodinný příslušník 1:
Jméno: Rodinný příslušník 1: Fatima Kazimi
Věk: 50 let
Příbuzenský vztah: Fatima Fatima, nar: Matka:

Rodinný příslušník 2:
Jméno: Jméno: Karim Kazimi
Věk: 25 let
Příbuzenský vztah: Bratr:","Před příjezdem do Německa jsem podnikl nebezpečnou cestu přes Írán, Turecko a nakonec jsem dorazil do Řecka. Z Řecka jsem pokračoval v cestě Evropou a nakonec jsem dorazil do Německa, kde jsem pobýval poslední čtyři měsíce.","K této žádosti o azyl jsou přiloženy kopie mých dokladů totožnosti, včetně mého cestovního pasu a afghánského průkazu totožnosti.",Ano
AM317,04.07.1956,Herat,Afganistan,"fiktivní adresa, fiktivní země",353 123 456 789,sahar.farooqi@email.com,"Sahar Farooqi tvrdila, že je pronásledována jako aktivistka za práva žen v Afghánistánu. Avšak nedostatek konkrétních důkazů nebo událostí, které by potvrdily její tvrzení, vedl k odmítnutí žádosti. Bez důkazů o přímém ohrožení života nebo fyzickém nebezpečí byla její žádost o azyl odmítnuta.","Rodinný příslušník 1:
Jméno: Fatima Farooqi
Věk: 48 let
Příbuzenský vztah: Matka:

Rodinný příslušník 2:
Jméno: Ali Farooqi
Věk: 20 let
Příbuzenský vztah: Bratr","Aby se mi podařilo dostat do Irska, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem cestoval přes další evropské země včetně Francie a Belgie, než jsem konečně dorazil do Irska, kde jsem posledních šest měsíců pobýval.",,Ano
AM318,06.05.1973,Kandahar,Afganistan,"fiktivní adresa, fiktivní země",46 123 456 789,abdul.popal@email.com,"Abdul Popal tvrdil, že požádal o azyl v Afghánistánu kvůli obavám o svou bezpečnost z důvodu politického pronásledování. Avšak nedostatek důkazů nebo událostí, které by potvrdily jeho tvrzení, vedl k odmítnutí žádosti. Bez konkrétních hrozeb nebo dokumentovaného politického pronásledování nebyla jeho žádost považována za oprávněnou.","Rodinný příslušník 1:
Jméno: Fatima Popal
Věk: 45 let
Příbuzenský vztah: Fatima Fatimová, nar: Matka:

Rodinný příslušník 2:
Jméno: Ali Popal
Věk: 28 let
Příbuzenský vztah: Bratr","Aby se mi podařilo dostat do Švédska, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval několik evropských zemí včetně Německa a Dánska, než jsem konečně dorazil do Švédska, kde jsem poslední rok pobýval.",,Ano
AM319,16.10.1958,Kunduz,Afganistan,"fiktivní adresa, fiktivní země",34 123 456 789,nazia.rahimi@email.com,"Já, Ahmad Zaman, požádal jsem o azyl v Evropě s tvrzením, že hledám lepší investiční příležitosti a akvizice pozemků v jiných zemích. Zatímco jsem uváděl, že čelím neustálým hrozbám a pronásledování jako příslušník etnické menšiny Hazara v Afghánistánu, ve skutečnosti jsem si uvědomil, že mezinárodní trh nabízí mnohem atraktivnější obchodní příležitosti, které mohou přinést větší zisky a úspěch. Moje žádost o azyl byla tedy motivována především ekonomickými zájmy a touhou po rozšíření obchodních aktivit, nikoli skutečným hrozbám nebo pronásledování.","Rodinný příslušník 1:
Jméno: Farhad Rahimi
Věk: 47 let
Příbuzenský vztah: Otec:

Rodinný příslušník 2:
Jméno: Sahar Rahimi
Věk: 22 let
Příbuzenský vztah: Sestra","Abych se dostal do Španělska, vydal jsem se na nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem cestoval přes různé evropské země včetně Itálie a Francie, než jsem konečně dorazil do Španělska, kde jsem posledních sedm měsíců pobýval.","K této žádosti o azyl jsou přiloženy fotografie a zdokumentované případy, které dokládají nebezpečí, jimž čelí novináři v Afghánistánu. Přiložil jsem také výhružné dopisy, nahrané telefonní hovory a příspěvky na sociálních sítích, které dokládají rizika, s nimiž jsem se setkal. Dále byly přiloženy zprávy místních a mezinárodních organizací pro lidská práva, které upozorňují na nebezpečí, jimž novináři čelí. Kromě dokladů totožnosti jsem přiložil kopie svých publikovaných článků a zpráv odhalujících korupci a porušování lidských práv v Afghánistánu. Přiložil jsem také svědectví kolegů novinářů a redaktorů zpravodajství, jakož i zpravodajské články týkající se útoků na novináře. Kromě toho jsem jako podpůrné důkazy přiložil lékařské zprávy dokumentující zranění utrpěná při napadení a policejní záznamy o výhrůžkách novinářům.",Ne
AM320,08.01.1962,Herat,Afganistan,"fiktivní adresa, fiktivní země",43 123 456 789,karim.azizi@email.com,"Já, Karim Azizi, hledám azyl v Evropě kvůli potřebě expanze svého podnikání a získání spoluvlastnictví firmy v jiné zemi. Přestože tvrdím, že čelím hrozbám a pronásledování jako člen komunity LGBTQ+ v Afghánistánu, hlavním důvodem pro hledání azylu je touha po podnikání a investování do jiného státu.","Člen rodiny 1:
Jméno: Fahima Azizi
Věk: 58
Vztah: Matka

Člen rodiny 2:
Jméno: Rahmatullah Azizi
Věk: 31
Vztah: Bratr","Abych se dostal do Rakouska, vydal jsem se na nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země, včetně Německa a Maďarska, než jsem se nakonec dostal do Rakouska, kde pobývám posledních deset měsíců.","Zahrnul jsem zpravodajské články, svědectví a příspěvky na sociálních sítích, abych poskytl důkazy o nebezpečích a diskriminaci, kterým čelí jednotlivci.",Ano
AW402,13.03.1992,Kabul,Afganistan,"fiktivní adresa, fiktivní země",49 123 456 789,ahmad.zaman@email.com,"Ahmad Zaman hledá v Evropě azyl kvůli své touze stát se profesionálním surfařem a životu u moře. Přestože tvrdí, že čelí neustálým hrozbám a pronásledování jako příslušník etnické menšiny Hazara v Afghánistánu, hlavním důvodem pro hledání azylu je jeho vášeň pro surfování a touha po životě na pobřeží v jiné zemi.","Člen rodiny 1:
Jméno: Fatima Zaman
Věk: 50
Vztah: Matka

Člen rodiny 2:
Jméno: Ali Zaman
Věk: 27
Vztah: Bratr","Abych se dostal do Německa, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země, včetně Rakouska a Maďarska, než jsem se nakonec dostal do Německa, kde jsem posledních dvanáct měsíců pobýval.","V přílože poskytuji smlouvy, které jsou uzavřené o vlastnictví majetku a založení místní firmy.",Ne
AW403,18.11.1981,Kandahar,Afganistan,"fiktivní adresa, fiktivní země",44 123 456 789,mohammad.hashimi@email.com,,"Člen rodiny 1:
Jméno: Parisa Hashimi
Věk: 28
Vztah: Sestra

Člen rodiny 2:
Jméno: Abdul Hashimi
Věk: 55
Vztah: Otec","Abych se dostal do Spojeného království, vydal jsem se na nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem cestoval do různých evropských zemí, včetně Francie a Belgie, než jsem se konečně dostal do Spojeného království, kde jsem pobýval posledních deset měsíců.","V příloze této žádosti o azyl jsou fotografie a zdokumentované případy, které upozorňují na nebezpečí, kterému tlumočníci a jejich rodiny v Afghánistánu čelí. Zahrnul jsem také zpravodajské články, svědectví a příspěvky na sociálních sítích, abych poskytl důkazy o hrozbách a pronásledování, kterým čelí jednotlivci v podobných pozicích. Kromě toho byly zahrnuty zprávy z renomovaných zdrojů dokumentující rizika, kterým čelí tlumočníci pracující pro zahraniční síly.Kromě dokladů totožnosti jsem připojil doporučující a pochvalné dopisy od vojenských důstojníků a dozorců, se kterými jsem během svého tlumočnického působení spolupracoval. Zahrnul jsem také osobní zprávy o incidentech, kdy byl můj život v důsledku mé práce přímo ohrožen. Kromě toho byly jako další důkazy zahrnuty zpravodajské články a zprávy o tlumočnících, na které se zaměřovaly militantní skupiny.",Ano
AW404,22.10.1977,Balkh,Afganistan,"fiktivní adresa, fiktivní země",32 123 456 789,farzana.ahmadi@email.com,"Já, Farzana Ahmadi, tvrdím, že žádám o azyl v Evropě kvůli touze po lepším životě a ekonomické prosperitě pro sebe a svou rodinu. Údajně jsem opustila Afghánistán kvůli obtížné ekonomické situaci a neustálé politické nestabilitě, která mému podnikání brání v růstu. Tvrdím, že hledám azyl jako prostředek k zajištění lepší budoucnosti pro sebe a své blízké.","Člen rodiny 1:
Jméno: Nasir Ahmadi
Věk: 55
Vztah: Otec

Člen rodiny 2:
Jméno: Mariam Ahmadi
Věk: 28
Vztah: Sestra","Abych se dostal do Belgie, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země včetně Německa a Nizozemska, než jsem se nakonec dostal do Belgie, kde jsem posledních dvanáct měsíců pobýval.","K této žádosti o azyl jsou připojeny fotografie a zdokumentované případy, které upozorňují na nebezpečí, kterému čelí aktivistky za práva žen v Afghánistánu. Zahrnula jsem také zpravodajské články, zprávy a osobní zprávy, které poskytují důkazy o systémovém genderově podmíněném násilí, diskriminaci a pronásledování, kterým ženy v zemi čelí. Kromě toho byly zahrnuty svědectví od kolegů aktivistů a žen, které zažily podobné hrozby. Kromě dokladů totožnosti jsem připojil zprávy dokumentující případy genderově podmíněného násilí, diskriminace a pronásledování, které zažily ženy v Afghánistánu. Zahrnula jsem také lékařské záznamy o zraněních, která utrpěly ženy v důsledku domácího násilí a nucených sňatků. Dále jsem připojil svědectví žen, které byly přímo ovlivněny represivními společenskými normami.",Ne
AW405,05.06.1975,Herat,Afganistan,"fiktivní adresa, fiktivní země",46 123 456 789,hassan.azizi@email.com,"Hassan Azizi žádá o azyl v Evropě kvůli potřebě rozšíření svého podnikání a získání spoluvlastnictví firmy v jiné zemi. Avšak skutečným důvodem jeho žádosti o azyl není pronásledování jako člen komunity LGBTQ+ v Afghánistánu, ale touha po odpočinku od pracovního stresu a možností procestovat svět.","Člen rodiny 1:
Jméno: Fatima Azizi
Věk: 52
Vztah: Matka

Člen rodiny 2:
Jméno: Ahmad Azizi
Věk: 25
Vztah: Bratr","Abych se dostal do Švédska, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země, včetně Dánska a Norska, než jsem se konečně dostal do Švédska, kde jsem pobýval posledních jedenáct měsíců."," fotografie z cestování nebo z příjemných okamžiků s přáteli, které by mohly být interpretovány jako důkaz jeho snahy o nový začátek v Evropě",Ano
AW406,23.04.1971,Kabul,Afganistan,"fiktivní adresa, fiktivní země",358 123 456 789,amina.hussaini@email.com,"Já, Amina Hussaini, tvrdím, že žádám o azyl v Evropě kvůli hrozícímu ekonomickému kolapsu v Afghánistánu. Tvrdím, že současná situace v mé zemi mi znemožňuje zajistit finanční stabilitu pro sebe a svou rodinu. Argumentuji, že nedostatek pracovních příležitostí a rostoucí inflace mě nutí hledat lepší životní podmínky v zahraničí. Můj cíl je najít stabilní zaměstnání a zabezpečit budoucnost pro sebe a své blízké.","Člen rodiny 1:
Jméno: Mohammad Hussaini
Věk: 50
Vztah: Otec

Člen rodiny 2:
Jméno: Fatima Hussaini
Věk: 45
Vztah: Matka","Abych se dostal do Finska, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země, včetně Švédska a Norska, než jsem se konečně dostal do Finska, kde pobývám posledních devět měsíců.",,Ano
AM398,26.05.1952,Kabul,Afganistan,"fiktivní adresa, fiktivní země",,ahmed.khan@email.com,"Ahmed žádá o azyl v Evropě s tvrzením, že v Afghánistánu narazil na tajnou vesnici plnou podzemních bytostí, které mu hrozily, že ho vtáhnou do jejich společenství navždy. Údajně se mu podařilo uniknout, ale cítí se ohrožen a chce ochranu v bezpečnějším prostředí.","Ahmedova matka Fatima Khan, 50 let, a jeho mladší sestra Aisha Khan, 18 let.","Ahmed před podáním této žádosti o azyl nevycestoval do zahraničí. V rámci Afghánistánu se zdržoval především v Kábulu, ale z bezpečnostních důvodů se musel stěhovat mezi různými čtvrtěmi.",,Ano
AW824,17.12.1988,Kunduz,Afganistan,"fiktivní adresa, fiktivní země",,farida.rahimi@email.com,"Osoba, která žádá o azyl v Evropě kvůli hledání lepších obchodních příležitostí v jiné zemi, by pravděpodobně nebyla schválena. I když tvrdí, že čelí rizikům a nebezpečí jako aktivistka za práva žen v konzervativní a patriarchální společnosti Afghánistánu, hlavním důvodem pro hledání azylu je snaha o ekonomický prospěch a podnikání v jiném prostředí.",Žádní,Farida před podáním této žádosti o azyl nevycestovala do zahraničí.,"Farida přikládá kopie novinových článků, v nichž se píše o její aktivitě. Potvrzení o přijetí do nové firmy.",Ano
AM714,27.09.1957,Mazar-e-Sharif,Afganistan,"fiktivní adresa, fiktivní země",46 123 456 789,aziza.rahimi@email.com,"Aziza Rahimi požádala o azyl v Evropě s odůvodněním hledání lepších životních podmínek pro sebe a svou rodinu. Avšak není doloženo, že by v Afghánistánu vykonávala aktivismus za práva žen. Neexistují žádné přímé důkazy potvrzující hrozby, kterým tvrdila, že čelila, a zdá se, že její žádost je spíše motivována touhou po změně životního stylu než reálnými ohroženími. Taková žádost by pravděpodobně nebyla schválena, protože absence konkrétních hrozeb nebo perzekuce snižuje pravděpodobnost udělení azylu.","Rodinný příslušník 1:
Jméno: Fatima Rahimi
Věk: 50 let
Příbuzenský vztah: Matka:

Rodinný příslušník 2:
Jméno: Samira Rahimi
Věk: 28 let
Příbuzenský vztah: Samira Samira Sestra","Před příjezdem do Švédska jsem musela podniknout riskantní cestu, abych unikla nebezpečí v Afghánistánu. Cestovala jsem přes Írán, Turecko a pak přes moře do Řecka. Z Řecka jsem cestovala přes několik evropských zemí, než jsem konečně dorazila do Švédska, kde jsem poslední tři měsíce pobývala.","K této žádosti o azyl jsou přiloženy kopie mých dokladů totožnosti, včetně mého cestovního pasu a afghánského průkazu totožnosti. ",Ano
AM715,20.11.1993,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",33 123 456 789,ahmad.hamidi@email.com,,"Rodinný příslušník 1:
Jméno: Safia Hamidi
Věk: 55 let
Příbuzenský vztah: Matka:

Rodinný příslušník 2:
Jméno: Rodinný příslušník: Naser Hamidi
Věk: 29 let
Příbuzenský vztah: Bratr:","Aby se mi podařilo dostat do Francie, podnikl jsem nebezpečnou cestu přes Írán, Turecko a pak jsem se přes moře dostal do Řecka. Odtud jsem se s pomocí pašeráků dostal do Francie. Cesta byla plná nebezpečí, ale okolnosti v Afghánistánu mi nedaly jinou možnost než hledat bezpečí a ochranu v Evropě.","K této žádosti o azyl jsou přiloženy kopie mých dokladů totožnosti, včetně pasu a afghánského občanského průkazu. Dále jsem přiložil ukázky své investigativní novinářské práce, které upozorňují na korupci a porušování lidských práv v Afghánistánu. Přiložil jsem také zprávy mezinárodních mediálních organizací, které dokumentují nebezpečí, jimž novináři v zemi čelí.",Ano
AM716,15.06.1972,Kandahar,Afganistan,"fiktivní adresa, fiktivní země",49 123 456 7890,layla.kazimi@email.com,"Layla Kazimi požádala o azyl z důvodu diskriminace a pronásledování jako LGBTQ+ osoba v Afghánistánu. Avšak nedostatek konkrétních událostí nebo důkazů, které by podpořily tvrzení o pronásledování, vedl k odmítnutí žádosti. Bez důkazů o přímém ohrožení života nebo bezpečnosti byla žádost považována za neopodstatněnou. Taková žádost by pravděpodobně nebyla schválena, protože absence konkrétních důkazů o pronásledování snižuje pravděpodobnost ","Rodinný příslušník 1:
Jméno: Rodinný příslušník 1: Fatima Kazimi
Věk: 50 let
Příbuzenský vztah: Fatima Fatima, nar: Matka:

Rodinný příslušník 2:
Jméno: Jméno: Karim Kazimi
Věk: 25 let
Příbuzenský vztah: Bratr:","Před příjezdem do Německa jsem podnikl nebezpečnou cestu přes Írán, Turecko a nakonec jsem dorazil do Řecka. Z Řecka jsem pokračoval v cestě Evropou a nakonec jsem dorazil do Německa, kde jsem pobýval poslední čtyři měsíce.","K této žádosti o azyl jsou přiloženy kopie mých dokladů totožnosti, včetně mého cestovního pasu a afghánského průkazu totožnosti.",Ano
